"Version",2
"File Name","Loc Cal - BRU U6 A02 (2015-06-10) (06;27;09) W6 -0866--0586 FREE .dat"

"!Header Information"
"Station","Bruce"
"Unit",6
"Channel","A02"
"Pass","6"
"Face","West"
"ToolID","PN1213B"
"Probe","FREE"
"Date","2015-06-10"
"Time","06:27:09"
"StartPosition",-866
"EndPosition",-586
"MaxSpacers",4
"Orientation","Inlet"
"Mode","Locate"
"EndToolRotary",0
"InitialAxial",-876
"InitialRamOrFreeAxial",-912
"InitialMidAxial",0
"Number Of Data Channels",4

"!Channel Names"
"ChannelName1","LOCFREE3"
"ChannelName2","LOCFREE24"
"ChannelName3","GAP6FREE"
"ChannelName4","AXIALENCODER"

"!Calibration Constants"
"Gain3Khz",.75323684260005
"Phase3Khz",5.62974275734315
"Gain24Khz",1.81741221361608
"Phase24Khz",2.96298222131338
"GainGap6RamOrFree",.03
"PhaseGap6RamOrFree",3.1415926
"GainGap9RamOrFree",.03
"PhaseGap9RamOrFree",3.1415926
"GainGap6Mid",0
"PhaseGap6Mid",0
"GainGap9Mid",0
"PhaseGap9Mid",0
"GainMixed",.9528201747462
"PhaseMixed",3.88347570636821E-02

"!Encoder Resolution (mm/data point)",.5431
"!Pressure Offset (Encoder counts)",-2980
"!Pressure Gain (Percent per Encoder Count)",.0086
"!Gap Encoder Gain (mm / Encoder counts)",.005
"!Gap Encoder Physical Offset (mm)",1
"!Gap Sample Rate (Hz)",20

"!Number Of Data Points",517

"!You can add lines of text to this file here..."
"!Locate/Gap will read (and ignore) lines until !Data: is found!"

"!Data: Ch1X, Ch1Y, Ch2X, Ch2Y, Ch3X, Ch3Y, Ch4X, Ch4Y, Ch5X, Ch5Y, Ch6X, Ch6Y, Ch7X, Ch7Y"
661,-1452,-183,-75,19,41,113,0
654,-1431,-184,-77,18,41,114,0
645,-1409,-184,-77,18,40,115,0
631,-1377,-184,-77,18,40,116,0
613,-1347,-187,-76,18,40,117,0
591,-1325,-187,-76,17,40,118,0
576,-1290,-189,-74,16,40,119,0
563,-1259,-190,-74,16,40,120,0
540,-1232,-189,-74,15,40,121,0
517,-1203,-191,-73,15,41,122,0
491,-1163,-192,-72,15,41,123,0
469,-1124,-194,-71,14,40,124,0
447,-1090,-196,-72,14,40,125,0
416,-1053,-197,-71,14,40,126,0
386,-1018,-197,-71,13,40,127,0
359,-981,-200,-72,13,40,128,0
330,-945,-201,-70,12,40,129,0
294,-910,-202,-70,12,40,130,0
264,-873,-204,-71,11,40,131,0
225,-831,-204,-69,11,40,132,0
198,-793,-207,-69,11,40,133,0
161,-752,-209,-70,10,40,134,0
124,-711,-210,-69,10,40,135,0
86,-683,-212,-68,9,40,136,0
51,-634,-212,-67,9,40,137,0
18,-598,-213,-65,8,40,138,0
-18,-560,-216,-67,8,40,139,0
-55,-524,-216,-66,7,40,140,0
-93,-480,-217,-63,6,40,141,0
-131,-440,-219,-66,5,40,142,0
-168,-394,-220,-62,4,39,143,0
-199,-357,-221,-64,4,39,144,0
-240,-327,-223,-61,3,40,145,0
-272,-289,-222,-62,3,40,146,0
-306,-256,-224,-61,2,40,147,0
-337,-220,-225,-62,1,40,148,0
-374,-185,-226,-60,1,40,149,0
-410,-143,-226,-60,1,40,150,0
-439,-115,-228,-60,0,40,151,0
-465,-75,-229,-58,0,40,152,0
-496,-44,-228,-58,0,40,153,0
-526,-6,-227,-58,-1,39,154,0
-549,21,-229,-58,-1,39,155,0
-574,49,-227,-58,-1,39,156,0
